origin_zone,dest_zone,road_type,speed_limit_kmh,num_lanes,is_one_way,distance_km,road_curvature,has_signal,is_construction,weather_condition,day_of_week,time_slot,is_weekend,is_holiday,day_type,congestion_multiplier
16,8,street,47.3,1,0,0.82,1.004,1,0,clear,Thu,midday,0,0,weekday,2.1593
18,10,highway,109.8,5,0,3.19,1.588,0,0,rain,Mon,night,0,0,weekday,0.8377
14,10,street,43.5,1,0,11.49,1.116,0,0,clear,Sun,night,1,0,weekend,0.8584
20,22,main_road,64.4,3,0,8.3,1.327,1,0,clear,Sat,night,1,0,weekend,0.8451
4,23,main_road,65.0,2,0,10.3,1.589,0,0,clear,Wed,morning_peak,0,0,weekday,2.7613
2,17,street,42.3,2,1,16.56,1.685,1,0,clear,Fri,morning_peak,0,0,friday,3.318
6,22,street,25.0,2,0,19.78,1.445,0,0,rain,Sun,midday,1,0,weekend,2.1784
8,4,main_road,63.5,3,0,1.77,1.195,0,0,clear,Tue,evening_peak,0,0,weekday,2.0573
3,14,main_road,63.5,2,0,6.88,1.399,1,0,clear,Tue,night,0,0,weekday,0.9422
17,22,main_road,65.4,3,0,12.45,1.382,0,0,clear,Mon,midday,0,0,weekday,1.5171
12,8,main_road,41.6,4,0,9.85,1.788,1,0,clear,Tue,evening_peak,0,0,weekday,3.3377
3,15,street,46.0,2,0,16.04,1.039,1,0,heavy_rain,Mon,morning_peak,0,0,weekday,3.4852
20,8,main_road,63.6,4,0,5.57,1.709,1,1,cloudy,Sun,night,1,0,weekend,1.3282
16,5,street,31.0,2,1,4.12,1.014,1,0,clear,Mon,midday,0,0,weekday,2.1793
3,14,street,29.0,2,0,6.52,1.124,0,0,clear,Sat,night,1,0,weekend,1.197
10,8,main_road,66.1,2,0,10.3,1.346,1,0,clear,Tue,morning_peak,0,0,weekday,2.0804
4,23,main_road,55.8,3,0,0.13,1.09,1,0,clear,Fri,evening_peak,0,0,friday,3.5
4,1,main_road,41.9,3,0,14.26,1.12,1,0,cloudy,Fri,evening_peak,0,0,friday,3.5
12,15,main_road,46.5,4,0,17.12,1.203,0,0,cloudy,Sat,midday,1,0,weekend,1.2787
19,10,highway,80.8,6,1,14.53,1.566,0,0,cloudy,Sat,midday,1,0,weekend,0.8607
18,14,street,46.4,2,0,12.47,1.219,1,0,clear,Thu,night,0,0,weekday,1.4644
11,4,street,37.0,2,0,19.67,1.335,1,1,fog,Tue,night,0,0,weekday,1.9724
3,17,street,42.0,1,0,7.64,1.414,0,0,cloudy,Fri,night,0,0,friday,1.1032
22,15,highway,95.8,4,1,12.21,1.465,0,0,clear,Tue,evening_peak,0,0,weekday,1.4339
11,2,street,28.3,2,0,3.8,1.418,1,0,clear,Sun,morning_peak,1,1,weekend,2.3158
1,19,street,22.2,2,1,6.16,1.442,1,0,clear,Tue,morning_peak,0,0,weekday,3.2396
8,4,street,23.6,1,0,2.1,1.212,0,0,rain,Thu,evening_peak,0,0,weekday,3.4174
3,14,main_road,71.1,3,0,9.86,1.424,1,0,clear,Sat,morning_peak,1,0,weekend,2.4132
4,21,street,34.0,1,0,10.68,1.15,0,0,clear,Tue,midday,0,0,weekday,1.7852
12,18,main_road,57.5,4,0,0.15,1.795,1,1,fog,Wed,night,0,0,weekday,1.6883
18,5,service_lane,33.6,1,1,9.05,1.714,0,0,clear,Tue,evening_peak,0,0,weekday,3.5
17,18,main_road,56.3,3,0,2.6,1.073,0,0,fog,Mon,midday,0,1,weekday,1.5697
23,11,street,47.3,2,0,10.89,1.561,0,0,clear,Sun,midday,1,0,weekend,2.1694
10,9,main_road,61.8,2,0,12.68,1.267,1,0,fog,Fri,midday,0,0,friday,3.3045
23,22,street,32.3,1,0,16.34,1.688,1,1,cloudy,Mon,evening_peak,0,0,weekday,3.5
5,18,street,24.1,1,0,5.49,1.708,1,0,clear,Thu,evening_peak,0,0,weekday,3.5
4,11,main_road,57.0,3,1,13.48,1.283,0,0,clear,Wed,morning_peak,0,0,weekday,2.122
14,1,main_road,40.0,2,0,15.52,1.028,0,0,clear,Wed,evening_peak,0,0,weekday,2.1054
18,19,highway,98.6,4,1,4.46,1.167,0,0,cloudy,Mon,evening_peak,0,0,weekday,0.9207
23,19,street,25.8,2,0,13.16,1.231,0,0,cloudy,Fri,morning_peak,0,0,friday,2.9482
5,4,street,28.1,2,0,6.36,1.451,1,1,clear,Sun,morning_peak,1,0,weekend,3.3618
1,2,street,26.2,2,0,3.61,1.108,0,0,clear,Wed,night,0,0,weekday,1.1789
3,8,service_lane,37.0,2,0,10.57,1.797,1,0,clear,Fri,night,0,0,friday,1.7022
23,17,service_lane,23.9,2,1,17.34,1.471,0,0,clear,Fri,midday,0,0,friday,3.3354
1,10,main_road,43.8,2,1,14.49,1.311,1,0,rain,Thu,evening_peak,0,0,weekday,3.5
1,22,service_lane,20.5,1,0,9.98,1.373,1,0,clear,Wed,morning_peak,0,0,weekday,3.5
5,8,street,46.3,2,0,2.11,1.649,1,0,heavy_rain,Wed,midday,0,0,weekday,2.9179
11,1,main_road,67.6,4,1,13.4,1.301,1,0,cloudy,Tue,morning_peak,0,0,weekday,1.5951
2,15,street,32.9,1,1,10.74,1.795,1,0,clear,Sat,morning_peak,1,0,weekend,3.4512
7,21,street,49.1,2,0,3.87,1.229,1,0,clear,Tue,evening_peak,0,0,weekday,2.4108
2,22,service_lane,29.1,1,1,7.3,1.313,1,1,clear,Sat,morning_peak,1,0,weekend,3.5
17,6,main_road,47.8,2,0,18.26,1.43,0,0,clear,Thu,morning_peak,0,0,weekday,2.6432
16,4,main_road,66.1,3,0,8.75,1.183,0,0,clear,Wed,morning_peak,0,0,weekday,1.6903
4,22,main_road,49.1,4,0,1.11,1.785,1,0,rain,Thu,morning_peak,0,0,weekday,3.2278
3,4,street,32.8,2,0,10.16,1.589,1,0,clear,Sun,morning_peak,1,0,weekend,2.3365
18,17,street,42.8,2,0,3.59,1.286,1,0,rain,Wed,midday,0,0,weekday,2.2706
17,2,main_road,54.4,2,1,9.4,1.314,1,0,clear,Tue,morning_peak,0,0,weekday,2.1712
16,8,service_lane,38.2,2,0,1.71,1.013,0,0,cloudy,Thu,midday,0,0,weekday,2.2646
23,12,street,32.0,2,0,12.17,1.751,1,0,cloudy,Fri,evening_peak,0,0,friday,3.5
10,6,street,40.3,1,0,4.78,1.221,0,0,clear,Mon,evening_peak,0,0,weekday,3.5
13,7,highway,100.8,5,1,7.97,1.598,0,0,clear,Mon,midday,0,0,weekday,1.1553
18,16,main_road,58.7,4,0,3.79,1.371,1,0,clear,Sat,morning_peak,1,0,weekend,1.8146
16,10,highway,111.3,5,1,18.36,1.681,0,0,heavy_rain,Sun,morning_peak,1,0,weekend,2.1292
19,6,street,42.5,2,0,2.45,1.191,1,0,clear,Sun,midday,1,0,weekend,1.8398
6,2,highway,119.4,4,1,12.8,1.379,0,1,cloudy,Tue,morning_peak,0,0,weekday,2.696
7,10,main_road,68.5,4,0,9.96,1.044,1,0,clear,Thu,midday,0,1,weekday,2.0818
19,2,main_road,49.2,4,1,19.17,1.568,0,0,fog,Sat,midday,1,0,weekend,2.2448
9,21,street,26.4,2,1,2.49,1.057,1,0,cloudy,Fri,night,0,0,friday,1.289
1,8,main_road,46.1,4,0,16.86,1.264,0,1,clear,Tue,evening_peak,0,0,weekday,3.1487
19,17,main_road,67.7,4,0,13.68,1.059,1,0,clear,Fri,morning_peak,0,0,friday,2.0542
18,2,main_road,61.1,4,0,14.78,1.057,1,0,clear,Sat,night,1,0,weekend,0.6456
12,8,street,37.1,1,1,18.83,1.134,0,0,rain,Wed,morning_peak,0,0,weekday,3.5
20,14,main_road,79.7,2,0,10.58,1.511,0,0,clear,Sun,morning_peak,1,0,weekend,2.2534
6,9,service_lane,32.7,2,0,6.74,1.265,1,0,clear,Tue,midday,0,0,weekday,2.2692
5,13,service_lane,20.4,2,1,12.17,1.356,0,1,clear,Thu,night,0,0,weekday,1.7505
15,9,highway,94.4,4,1,1.01,1.282,0,1,rain,Wed,night,0,0,weekday,0.6849
23,13,service_lane,23.5,1,0,4.11,1.744,1,0,cloudy,Sat,evening_peak,1,0,weekend,3.5
8,13,main_road,69.6,3,1,14.62,1.679,1,0,clear,Sat,morning_peak,1,0,weekend,2.5487
18,2,main_road,77.1,4,0,13.89,1.79,1,1,clear,Tue,night,0,0,weekday,1.1825
11,3,street,34.7,1,1,3.14,1.55,1,0,cloudy,Fri,evening_peak,0,0,friday,3.5
10,18,main_road,55.1,4,0,11.91,1.017,1,0,rain,Sun,evening_peak,1,0,weekend,3.5
14,12,main_road,57.8,2,0,3.02,1.269,1,0,clear,Sat,morning_peak,1,0,weekend,1.8406
8,6,main_road,60.1,3,0,5.25,1.404,0,0,clear,Fri,evening_peak,0,0,friday,3.5
17,11,main_road,54.2,3,0,14.36,1.373,1,0,cloudy,Mon,morning_peak,0,0,weekday,2.5151
23,9,service_lane,34.3,1,0,3.34,1.415,0,0,clear,Thu,midday,0,0,weekday,2.3557
9,18,main_road,53.6,4,0,1.89,1.02,1,0,clear,Thu,midday,0,0,weekday,2.013
16,10,highway,117.2,4,1,19.89,1.616,1,0,clear,Fri,morning_peak,0,1,friday,2.0658
21,14,service_lane,37.9,2,0,10.1,1.334,0,0,heavy_rain,Sun,night,1,0,weekend,3.0867
3,4,main_road,72.7,2,0,5.34,1.744,1,0,rain,Fri,morning_peak,0,0,friday,3.5
15,14,highway,108.7,6,1,2.17,1.8,0,0,clear,Sat,evening_peak,1,0,weekend,0.9954
11,20,highway,82.7,5,1,13.11,1.271,0,1,fog,Fri,midday,0,0,friday,1.6891
14,11,street,38.8,2,0,6.97,1.427,0,0,clear,Thu,midday,0,0,weekday,1.9711
13,7,highway,100.3,4,0,12.62,1.49,0,0,cloudy,Thu,evening_peak,0,0,weekday,1.8647
2,1,main_road,70.6,4,1,5.92,1.778,0,0,clear,Mon,midday,0,0,weekday,1.377
22,15,main_road,63.9,2,0,19.9,1.063,1,0,clear,Sun,midday,1,0,weekend,1.1348
20,16,main_road,47.9,4,0,10.01,1.464,1,0,cloudy,Sun,night,1,0,weekend,1.0216
18,14,street,45.1,2,1,0.57,1.045,0,0,clear,Tue,night,0,0,weekday,1.076
2,5,street,32.6,2,0,10.48,1.37,1,0,clear,Sun,midday,1,0,weekend,2.2644
17,12,main_road,41.8,4,0,1.53,1.474,0,1,clear,Sat,evening_peak,1,0,weekend,2.8108
1,21,street,29.9,2,0,13.67,1.78,1,0,clear,Wed,evening_peak,0,0,weekday,3.5
7,10,main_road,65.3,4,0,16.58,1.575,1,0,clear,Mon,evening_peak,0,0,weekday,3.433
9,5,main_road,63.3,3,0,13.18,1.576,0,0,clear,Thu,midday,0,0,weekday,1.9514
21,14,highway,103.7,5,1,8.98,1.691,0,0,clear,Fri,evening_peak,0,0,friday,3.1803
7,17,main_road,44.4,3,0,19.19,1.322,1,0,rain,Fri,evening_peak,0,0,friday,3.5
21,16,main_road,61.3,3,0,9.31,1.336,1,1,cloudy,Wed,evening_peak,0,0,weekday,3.5
6,10,street,38.9,2,0,12.82,1.552,1,0,clear,Sun,night,1,0,weekend,1.4194
8,13,main_road,51.8,3,0,10.04,1.515,0,0,cloudy,Tue,night,0,1,weekday,0.8433
12,4,main_road,40.6,2,0,15.05,1.661,1,0,cloudy,Wed,morning_peak,0,0,weekday,3.0814
1,22,highway,110.7,4,0,2.58,1.236,0,1,fog,Mon,night,0,0,weekday,1.5334
11,22,highway,115.5,6,0,15.48,1.217,0,0,fog,Thu,midday,0,0,weekday,1.4451
2,3,street,27.2,1,1,9.98,1.71,0,0,cloudy,Sun,night,1,0,weekend,0.9593
19,17,main_road,79.7,2,0,16.3,1.596,1,0,clear,Sun,evening_peak,1,0,weekend,2.0044
8,12,street,38.4,1,0,8.03,1.378,1,0,clear,Mon,morning_peak,0,0,weekday,3.5
7,11,main_road,77.9,3,0,17.53,1.79,0,0,clear,Sat,midday,1,1,weekend,1.3894
7,22,main_road,78.9,4,0,5.07,1.112,0,0,clear,Wed,midday,0,0,weekday,1.3524
16,21,street,46.8,1,1,6.05,1.444,1,0,clear,Wed,evening_peak,0,0,weekday,2.8471
2,4,street,26.8,1,0,16.76,1.065,0,0,clear,Tue,evening_peak,0,0,weekday,2.8151
23,22,street,49.7,2,1,16.01,1.71,1,0,rain,Tue,morning_peak,0,0,weekday,3.5
10,4,street,45.1,1,1,14.82,1.791,0,0,clear,Tue,midday,0,0,weekday,2.3106
22,13,service_lane,37.5,2,1,0.66,1.447,0,0,clear,Wed,midday,0,0,weekday,2.5036
7,18,street,33.9,1,0,13.71,1.515,0,0,clear,Mon,evening_peak,0,1,weekday,2.8004
11,14,main_road,72.6,4,0,15.18,1.752,0,0,clear,Mon,midday,0,0,weekday,1.0468
7,14,main_road,40.8,2,0,2.46,1.173,1,0,clear,Mon,morning_peak,0,0,weekday,1.7311
13,18,main_road,79.3,2,0,12.24,1.789,1,0,cloudy,Tue,night,0,0,weekday,1.2705
20,4,street,24.5,2,0,13.5,1.365,1,0,clear,Sat,evening_peak,1,0,weekend,2.3664
13,8,street,26.2,2,0,17.65,1.533,1,0,clear,Sun,midday,1,0,weekend,1.913
18,16,street,43.3,2,1,18.28,1.414,1,0,clear,Sat,midday,1,1,weekend,1.705
9,19,street,23.8,1,0,10.16,1.656,0,0,clear,Wed,night,0,0,weekday,1.0584
1,17,highway,92.4,6,0,9.51,1.524,0,0,clear,Sun,evening_peak,1,0,weekend,2.6041
19,8,service_lane,34.0,1,1,14.21,1.759,1,0,heavy_rain,Sat,evening_peak,1,0,weekend,3.5
1,10,service_lane,39.7,2,0,0.2,1.147,0,0,clear,Sun,morning_peak,1,0,weekend,3.5
19,2,main_road,71.3,4,0,9.96,1.494,1,0,rain,Fri,morning_peak,0,0,friday,3.4026
12,16,main_road,68.9,3,0,18.15,1.27,0,0,clear,Wed,night,0,0,weekday,0.6613
4,2,main_road,74.0,2,0,9.36,1.038,1,0,cloudy,Wed,night,0,0,weekday,1.0886
7,19,street,27.7,2,0,13.16,1.361,0,0,fog,Sat,night,1,0,weekend,0.9881
15,5,service_lane,38.0,1,1,0.95,1.577,0,0,cloudy,Thu,midday,0,0,weekday,2.2713
9,14,main_road,63.9,3,0,2.56,1.149,1,1,clear,Thu,midday,0,0,weekday,2.614
4,23,street,40.2,1,0,19.69,1.542,1,0,cloudy,Wed,evening_peak,0,0,weekday,3.289
2,5,service_lane,20.5,2,0,12.99,1.31,0,1,rain,Thu,morning_peak,0,0,weekday,3.5
19,17,main_road,71.6,4,0,3.01,1.598,1,1,clear,Sat,night,1,0,weekend,0.9374
14,12,main_road,44.0,2,1,2.74,1.763,1,0,fog,Thu,night,0,0,weekday,1.6742
21,12,main_road,41.5,2,0,2.12,1.247,1,1,clear,Wed,midday,0,0,weekday,3.0588
4,23,service_lane,34.1,2,0,10.71,1.259,1,0,clear,Sat,morning_peak,1,1,weekend,2.3564
19,15,main_road,59.5,3,0,15.15,1.398,1,1,clear,Sun,night,1,0,weekend,1.1254
2,15,main_road,42.6,2,0,2.13,1.068,1,1,clear,Mon,night,0,0,weekday,1.5392
3,7,main_road,54.1,2,0,17.67,1.234,1,0,clear,Sat,night,1,0,weekend,0.7458
11,17,street,34.9,1,0,11.26,1.384,0,0,clear,Mon,night,0,0,weekday,1.2176
15,12,highway,100.3,6,1,18.32,1.364,0,0,clear,Tue,night,0,0,weekday,0.55
22,7,main_road,77.1,4,1,2.29,1.554,1,0,cloudy,Mon,evening_peak,0,0,weekday,2.6121
5,4,street,43.6,1,1,17.02,1.689,1,0,heavy_rain,Tue,morning_peak,0,0,weekday,3.5
9,17,highway,80.3,5,0,3.84,1.032,0,0,fog,Fri,night,0,0,friday,0.8465
10,11,street,47.1,1,1,15.86,1.361,1,0,rain,Sun,midday,1,0,weekend,2.7318
15,9,street,36.9,1,0,14.13,1.671,1,0,heavy_rain,Sun,midday,1,0,weekend,3.4113
2,7,street,45.6,1,0,11.45,1.001,0,0,clear,Thu,midday,0,0,weekday,2.469
1,16,highway,101.7,4,0,17.38,1.088,0,0,cloudy,Mon,midday,0,0,weekday,1.5399
6,18,street,37.8,1,1,6.14,1.711,1,0,clear,Wed,night,0,0,weekday,1.6424
18,23,main_road,64.9,4,0,14.25,1.403,0,0,rain,Sat,midday,1,0,weekend,1.6627
18,11,main_road,69.8,4,1,15.34,1.634,1,0,cloudy,Mon,midday,0,0,weekday,2.0551
1,6,main_road,57.5,4,0,2.69,1.401,1,0,clear,Mon,morning_peak,0,1,weekday,2.7233
14,16,main_road,78.6,2,0,5.62,1.361,0,0,heavy_rain,Tue,morning_peak,0,0,weekday,3.4715
2,1,street,36.0,2,0,0.7,1.653,1,1,clear,Wed,night,0,0,weekday,1.2606
14,21,service_lane,24.3,2,0,13.62,1.192,0,0,cloudy,Thu,evening_peak,0,0,weekday,2.7916
7,8,service_lane,21.1,1,1,8.57,1.39,0,1,cloudy,Fri,night,0,0,friday,1.6345
13,11,street,27.3,1,0,13.72,1.049,1,0,clear,Wed,night,0,0,weekday,1.2418
19,18,street,39.1,2,0,17.04,1.345,0,0,cloudy,Wed,evening_peak,0,0,weekday,3.5
15,6,street,26.3,1,1,17.14,1.409,1,0,cloudy,Sat,morning_peak,1,0,weekend,2.1562
13,1,main_road,53.1,3,1,5.05,1.047,0,0,rain,Tue,evening_peak,0,0,weekday,2.7958
5,15,highway,113.4,6,0,10.54,1.742,0,0,clear,Sun,morning_peak,1,0,weekend,0.9968
21,2,highway,88.3,6,1,3.65,1.016,0,0,rain,Fri,evening_peak,0,0,friday,3.5
13,2,main_road,70.7,4,0,10.81,1.025,0,0,clear,Fri,midday,0,0,friday,1.858
13,9,main_road,51.3,3,0,12.89,1.522,0,0,clear,Sat,morning_peak,1,0,weekend,2.02
15,20,street,22.4,1,0,0.66,1.541,1,0,fog,Sat,evening_peak,1,0,weekend,3.4871
19,7,highway,96.7,6,0,14.29,1.371,0,1,cloudy,Thu,morning_peak,0,0,weekday,2.2007
13,23,street,24.3,1,0,14.13,1.424,1,0,cloudy,Tue,morning_peak,0,0,weekday,3.5
7,19,street,26.5,2,0,6.99,1.738,1,0,clear,Sat,midday,1,0,weekend,2.323
20,23,main_road,42.9,2,1,3.9,1.487,1,0,clear,Fri,morning_peak,0,0,friday,3.3911
23,16,main_road,45.2,2,0,5.55,1.276,1,0,clear,Tue,midday,0,0,weekday,1.6532
1,19,main_road,43.5,2,0,11.67,1.187,1,1,rain,Wed,morning_peak,0,0,weekday,3.5
20,17,street,30.7,1,0,4.9,1.431,1,0,cloudy,Wed,night,0,0,weekday,0.9852
7,14,main_road,47.7,3,0,18.06,1.637,0,0,clear,Mon,evening_peak,0,0,weekday,2.2497
13,19,main_road,70.1,4,1,18.5,1.384,1,0,clear,Sat,midday,1,0,weekend,1.4433
6,13,highway,86.5,5,1,15.8,1.225,0,0,clear,Sun,morning_peak,1,0,weekend,1.459
9,11,main_road,69.2,3,0,10.85,1.739,1,0,cloudy,Wed,midday,0,0,weekday,2.1675
9,14,street,36.8,2,0,18.16,1.076,0,0,rain,Wed,evening_peak,0,0,weekday,3.5
18,2,main_road,71.9,2,0,7.77,1.797,1,0,rain,Mon,night,0,0,weekday,1.5335
21,6,street,35.9,1,1,7.72,1.38,1,1,clear,Wed,morning_peak,0,0,weekday,3.5
3,15,service_lane,27.9,1,0,0.49,1.323,0,0,cloudy,Sun,morning_peak,1,0,weekend,3.0743
11,8,street,34.5,1,0,16.16,1.083,1,1,cloudy,Tue,morning_peak,0,0,weekday,2.2379
4,10,street,38.4,2,0,15.05,1.152,1,0,cloudy,Fri,evening_peak,0,0,friday,3.5
22,3,main_road,53.4,3,1,4.45,1.698,0,0,heavy_rain,Tue,evening_peak,0,0,weekday,2.7638
9,23,main_road,60.4,4,0,5.34,1.684,1,0,cloudy,Wed,morning_peak,0,0,weekday,2.8047
1,12,highway,112.7,6,0,8.52,1.652,0,0,clear,Mon,midday,0,0,weekday,1.8133
14,9,main_road,45.2,3,0,3.21,1.728,1,0,cloudy,Mon,evening_peak,0,0,weekday,3.0581
3,23,main_road,54.0,3,1,2.6,1.443,1,0,clear,Tue,evening_peak,0,0,weekday,2.3889
21,13,service_lane,24.0,2,1,14.85,1.672,0,0,rain,Wed,midday,0,0,weekday,2.5483
13,22,main_road,78.0,3,0,17.56,1.416,0,1,clear,Thu,evening_peak,0,0,weekday,3.0797
1,13,main_road,59.0,4,0,3.02,1.346,1,0,clear,Tue,morning_peak,0,0,weekday,3.0166
10,3,main_road,52.1,4,1,14.43,1.466,1,0,clear,Sat,evening_peak,1,0,weekend,3.217
19,17,highway,95.0,6,1,7.49,1.042,0,0,cloudy,Thu,night,0,0,weekday,0.55
13,3,street,24.1,1,0,0.69,1.247,0,0,clear,Thu,night,0,0,weekday,1.0231
15,10,main_road,55.3,2,0,11.14,1.016,0,0,clear,Tue,morning_peak,0,0,weekday,1.6928
4,14,street,24.5,1,1,13.2,1.794,1,0,clear,Tue,morning_peak,0,0,weekday,3.3694
5,11,main_road,71.0,2,1,5.84,1.427,1,0,clear,Tue,midday,0,0,weekday,1.5657
6,3,main_road,47.5,2,0,6.5,1.471,1,0,clear,Wed,evening_peak,0,0,weekday,3.229
17,10,highway,107.3,6,1,11.06,1.616,0,0,rain,Mon,midday,0,0,weekday,0.7973
9,11,main_road,50.1,3,0,5.75,1.056,1,0,clear,Tue,morning_peak,0,0,weekday,2.8481
9,3,street,21.1,1,0,11.56,1.243,0,0,clear,Sun,morning_peak,1,0,weekend,2.2305
23,16,main_road,60.2,2,0,12.91,1.707,1,0,clear,Sat,night,1,0,weekend,0.849
3,14,street,45.7,2,0,2.22,1.779,0,0,clear,Mon,evening_peak,0,0,weekday,2.8981
10,5,street,25.9,1,0,5.53,1.358,1,0,cloudy,Fri,morning_peak,0,0,friday,3.5
14,20,main_road,52.4,4,0,16.9,1.642,1,0,cloudy,Fri,morning_peak,0,0,friday,2.4024
8,19,main_road,75.0,3,0,3.23,1.245,1,0,clear,Thu,morning_peak,0,0,weekday,2.2966
4,14,highway,98.1,5,0,9.49,1.196,0,0,clear,Thu,midday,0,0,weekday,1.107
4,8,main_road,43.5,3,0,3.43,1.277,0,0,clear,Mon,midday,0,0,weekday,1.6639
9,21,street,30.1,1,0,5.26,1.484,1,0,fog,Fri,evening_peak,0,0,friday,3.5
10,12,street,21.1,2,0,12.38,1.695,1,0,clear,Wed,midday,0,0,weekday,2.2191
13,1,highway,90.9,5,0,4.37,1.568,0,0,fog,Thu,midday,0,1,weekday,1.4319
1,20,main_road,74.7,2,0,15.02,1.109,0,1,clear,Thu,night,0,0,weekday,1.3468
5,13,main_road,69.2,3,0,11.93,1.349,1,0,clear,Sun,evening_peak,1,0,weekend,3.5
12,22,street,32.1,1,1,8.34,1.629,0,0,cloudy,Mon,night,0,0,weekday,1.0156
21,10,highway,85.5,6,1,15.53,1.161,0,0,clear,Sun,morning_peak,1,0,weekend,1.5644
5,9,street,28.8,1,0,8.91,1.508,1,0,clear,Sat,morning_peak,1,0,weekend,3.0945
21,11,street,23.3,1,0,7.94,1.8,1,0,clear,Sat,night,1,0,weekend,1.5707
12,16,main_road,75.2,3,1,13.68,1.173,1,0,rain,Thu,night,0,0,weekday,1.2647
3,5,street,26.5,1,0,14.36,1.229,0,0,clear,Fri,evening_peak,0,0,friday,3.5
23,3,highway,112.0,5,0,13.15,1.553,0,0,clear,Mon,night,0,0,weekday,0.7207
5,9,main_road,40.4,2,0,6.43,1.025,0,1,cloudy,Sat,midday,1,0,weekend,1.8872
5,15,highway,93.3,6,1,18.4,1.082,1,0,clear,Sat,morning_peak,1,0,weekend,1.1533
16,10,main_road,71.0,2,0,14.07,1.322,1,0,cloudy,Sat,midday,1,0,weekend,2.3001
17,16,highway,97.4,4,1,11.88,1.02,1,0,clear,Fri,night,0,1,friday,0.55
7,11,street,44.9,1,1,19.61,1.18,1,0,clear,Tue,night,0,0,weekday,1.1346
4,3,highway,94.3,4,1,10.11,1.235,0,0,fog,Thu,evening_peak,0,0,weekday,1.916
22,8,main_road,71.4,4,0,18.75,1.232,1,0,clear,Fri,midday,0,0,friday,2.3292
10,16,service_lane,29.0,2,1,5.83,1.408,0,0,rain,Thu,midday,0,0,weekday,3.3802
3,14,highway,81.7,6,0,18.34,1.781,0,0,cloudy,Sun,evening_peak,1,0,weekend,1.3449
20,23,main_road,73.4,4,0,9.72,1.715,1,0,clear,Wed,night,0,0,weekday,1.1262
6,17,service_lane,34.7,2,1,14.95,1.099,0,0,clear,Thu,morning_peak,0,0,weekday,2.6927
9,14,street,21.6,1,0,0.55,1.424,0,0,clear,Wed,night,0,0,weekday,0.993
15,13,main_road,46.8,4,1,1.14,1.744,1,1,clear,Wed,night,0,0,weekday,1.1593
10,13,main_road,45.5,4,1,3.94,1.189,0,0,fog,Tue,night,0,0,weekday,1.0078
4,21,street,35.3,1,0,2.15,1.657,1,1,clear,Sun,morning_peak,1,0,weekend,3.5
22,18,main_road,74.8,4,0,9.86,1.765,0,0,fog,Wed,night,0,0,weekday,1.4742
23,17,street,36.6,2,0,12.21,1.266,1,0,clear,Wed,night,0,0,weekday,1.2053
2,3,street,50.0,2,0,3.76,1.225,1,0,heavy_rain,Tue,night,0,0,weekday,1.6517
19,12,highway,85.9,4,0,8.81,1.275,0,0,cloudy,Mon,night,0,0,weekday,0.6883
16,7,main_road,51.9,2,1,14.5,1.599,0,0,rain,Tue,night,0,0,weekday,1.1532
